,kcat,MW,kcat_MW
R1725,6123.455026703805,49615.461200000034,444305.81844785274
R1726,6123.455026703805,49615.461200000034,444305.81844785274
R1727,6123.455026703805,49615.461200000034,444305.81844785274
R1728,6123.455026703805,44279.27290000005,497850.04703936033
R1730,6123.455026703805,38284.37490000001,575807.70624346
R1731_num1,13.222,56201.887400000094,846.9324110278887
R1732_num1,13.222,56201.887400000094,846.9324110278887
R1733_num1,13.222,56201.887400000094,846.9324110278887
R1735_num1,18.34743426642857,59131.20070000015,1117.020499790776
R1737,1.269090909090909,113226.65130000026,40.35028167195529
R1738,1.6222222222222222,56846.4086000001,102.73296315151894
R1739,1.269090909090909,113226.65130000026,40.35028167195529
R1740_num1,2633.474494185185,30512.65860000002,310707.3789717773
R1741,512.0,16545.550999999985,111401.5483678967
R1742,85.36449115306122,92634.99280000004,3317.4522808514785
R1743,6.48125,63735.68490000021,366.08220397424367
R1744,4.859090909090909,56010.42750000013,312.3119757071526
R1745_num1,468809.63636363635,82060.71630000045,20566658.043040767
R1747_num1,0.26117617442990654,119375.95460000072,7.876244685105603
R1749,85.36449115306122,47807.220100000086,6428.1538961730985
R1750,351.7005489032258,55210.20420000021,22932.753000968034
R1751,0.31,70333.15660000032,15.867338449586875
R1752_num1,224.17715137614678,53219.69280000009,15164.269135994093
R1753,224.17715137614678,56404.20470000007,14308.113184940048
R1754_num1,300.0,66021.39980000022,16358.332347869977
R1756_num1,13.705627469444444,53406.40820000009,923.8640184381453
R1757_num1,41166.666666666664,51446.96440000007,2880636.432652182
R1759,208.0,16084.106299999992,46555.27550200289
R1760,41166.666666666664,53406.40820000009,2774947.894735968
R1761,66.145,47807.220100000086,4980.879446700972
R1762,1.5925,56736.11310000013,101.0467528837464
R1763,402.6333333333333,41958.847900000044,34545.276444542185
R1766,230.3435294117647,29630.829000000005,27985.606001180488
R1767_num1,47.83151162790698,27316.798700000007,6303.573260964326
R1768,230.3435294117647,29630.829000000005,27985.606001180488
R1769,49.897608695652174,150790.21289999998,1191.2669121534732
R1770_num1,82.22222222222223,51446.96440000007,5753.497868185194
R1771_num1,82.22222222222223,51446.96440000007,5753.497868185194
R1774,478.16652814814813,37374.569,46058.04287223575
R1775_num1,13.696937743750038,56201.887400000094,877.3544476639775
R1778,402.6333333333333,41958.847900000044,34545.276444542185
R1779_num1,7.503833333333334,56201.887400000094,480.65645567625467
R1780_num1,226.28285714285715,41958.847900000044,19414.6962198713
R1781_num1,4.4575,56736.11310000013,282.8357305992462
R1782,77.78111058333333,56736.11310000013,4935.33981798269
R1783,36.98111111111111,50726.606000000036,2624.5004445990317
R1785,6123.455026703805,44124.94020000003,499591.34213475225
R1786,6123.455026703805,40372.08290000003,546031.7257035475
R1788,6123.455026703805,53233.81710000009,414105.9066781379
R1790,6123.455026703805,53233.81710000009,414105.9066781379
R1791,6123.455026703805,53233.81710000009,414105.9066781379
R1792,6123.455026703805,53233.81710000009,414105.9066781379
R1793,6123.455026703805,44124.94020000003,499591.34213475225
R1794,6123.455026703805,40372.08290000003,546031.7257035475
R1795,6123.455026703805,44124.94020000003,499591.34213475225
R1796,6123.455026703805,40372.08290000003,546031.7257035475
R1797,6123.455026703805,44124.94020000003,499591.34213475225
R1798,6123.455026703805,40372.08290000003,546031.7257035475
R1817_num1,4.909285714285715,40840.063500000055,432.7473333000217
R1818,181.074,380511.7393000007,1713.1308516241586
R1819,95.98637931034483,30366.63900000001,11379.295730332267
R1820,144.63952,80069.37700000046,6503.13879674619
R1821,144.63952,80069.37700000046,6503.13879674619
R1822,3.1646,44766.07340000005,254.49093777342523
R1823_num1,3.2,82835.64760000061,139.07056121089485
R1824_num1,3.2,82835.64760000061,139.07056121089485
R1825,31.393746052631577,76949.42859999998,1468.724171779928
R1826,3.1646,44766.07340000005,254.49093777342523
R1827_num1,14.895461538461538,64370.37700000009,833.0487413249338
R1830_num1,31.462117647058825,35083.398200000054,3228.4108535817836
R1831_num1,31.462117647058825,35083.398200000054,3228.4108535817836
R1832_num1,31.462117647058825,35083.398200000054,3228.4108535817836
R1834_num1,6123.455026703805,84282.07610000054,261555.47082131685
R1835_num1,14.895461538461538,64370.37700000009,833.0487413249338
R1836,33.58559259259259,68141.39350000025,1774.3713053554281
R1837_num1,97.96363636363637,42649.38449999997,8269.031195727835
R1839,1111.9,31880.16080000002,125558.96518564606
R1840_num1,2.986666666666667,81073.48330000033,132.62042732534172
R1841,97.82,37128.893200000064,9484.581134780485
R1843_num1,13.705627469444444,53406.40820000009,923.8640184381453
R1844,49.897608695652174,150790.21289999998,1191.2669121534732
R1845_num1,10.825572875,48433.56580000006,804.6498684596118
R1847,354.0,53359.4150000001,23883.3203100146
R1848_num1,5.1400375,44159.135900000016,419.0329956162026
R1849_num1,5.1400375,44159.135900000016,419.0329956162026
R1850_num1,5.1400375,44159.135900000016,419.0329956162026
R1851_num1,5.1400375,44159.135900000016,419.0329956162026
R1852_num1,5.1400375,44159.135900000016,419.0329956162026
R1853_num1,5.1400375,44159.135900000016,419.0329956162026
R1854,327.46621474226805,60737.97690000005,19409.246623625422
R1857,1111.9,31880.16080000002,125558.96518564606
R1858,6123.455026703805,47585.07780000007,463263.6766674292
R1859_num1,1111.9,30467.76960000001,131379.48896659634
R1860_num1,327.46621474226805,49720.544000000074,23710.085977180042
R1861_num1,6.826666666666666,75212.93590000029,326.7523027245624
R1862_num1,6.826666666666666,75212.93590000029,326.7523027245624
R1863_num1,398.4117647058824,46746.86130000003,30681.896346721693
R1864,398.4117647058824,42012.88320000003,34139.10790443383
R1865_num1,398.4117647058824,46746.86130000003,30681.896346721693
R1866,398.4117647058824,42012.88320000003,34139.10790443383
R1867,398.4117647058824,42012.88320000003,34139.10790443383
R1868_num1,398.4117647058824,46746.86130000003,30681.896346721693
R1869,6123.455026703805,552230.9901000004,39918.87179700255
R1870,6123.455026703805,552230.9901000004,39918.87179700255
R1871,6123.455026703805,552230.9901000004,39918.87179700255
R1872,6123.455026703805,552230.9901000004,39918.87179700255
