,fluxes,equ,ec-code,kcat_MW,E
R1102_num2,0.0,atp_m + cbm_m --> adp_m + cbp_m,,76.57218603,0.0
R1102_num3,0.0,atp_m + cbm_m --> adp_m + cbp_m,,713.238568,0.0
R1105_num2,0.0,h_x + mlthf_x + nadph_x --> 5mthf_x + nadp_x,1.5.1.20,110.9229263,0.0
R1107_num2,0.0,h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,1.5.1.20,110.9229263,0.0
R1111_num2,0.0,atp_m + for_m + thf_m --> 10fthf_m + adp_m + pi_m,6.3.4.3,102.0392874,0.0
R1112_num2,0.0,10fthf_m + h_m --> h2o_m + methf_m,3.5.4.9,114.36304399999999,0.0
R1113_num2,0.0,methf_m + nadph_m --> mlthf_m + nadp_m,1.5.1.5,95.65663954,0.0
R1114_num2,0.0,h2o_c + methf_c --> 10fthf_c + h_c,3.5.4.9,75.38548782,0.0
R1122_num2,2.457271951696874,h2o_c + ppi_c --> h_c + 2.0 pi_c,3.6.1.1,20589.287330000006,0.00011934711057805581
R1123_num2,0.0,h2o_c + ppi_m --> h_m + 2.0 pi_m,3.6.1.1,20589.287330000006,0.0
R1124_num2,0.0,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,1.1.1.169,2029.370318,0.0
R1124_num3,0.0,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,1.1.1.169,772.3034987000003,0.0
R1125_num2,0.0,2dhp_m + h_m + nadph_m --> nadp_m + pant__R_m,1.1.1.169,2029.370318,0.0
R1125_num3,0.0,2dhp_m + h_m + nadph_m --> nadp_m + pant__R_m,1.1.1.169,772.3034987000003,0.0
R1136_num2,0.0,crn_c + ddcacoa_c --> C120CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1137_num2,0.0,crn_c + tdcoa_c --> C140CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1138_num2,0.0,C141COA_c + crn_c --> C141CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1139_num2,0.0,crn_c + pentdcoa_c --> C150CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1140_num2,0.0,crn_c + pmtcoa_c --> C160CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1141_num2,0.0,crn_c + hdd2coa_c --> C161CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1142_num2,0.0,C162COA_c + crn_c --> C162CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1143_num2,0.0,crn_c + hepdcoa_c --> C170CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1144_num2,0.0,C171COA_c + crn_c --> C171CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1145_num2,0.0,crn_c + stcoa_c --> C180CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1146_num2,0.0,crn_c + ocdce9coa_c --> C181CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1147_num2,0.0,crn_c + lnlccoa_c --> C182CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1148_num2,0.0,crn_c + lnlncacoa_c --> C183CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1149_num2,0.0,C190COA_c + crn_c --> C190CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1150_num2,0.0,C191COA_c + crn_c --> C191CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1151_num2,0.0,C192COA_c + crn_c --> C192CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1152_num2,0.0,C200COA_c + crn_c --> C200CAR_c + coa_c,2.3.1.7,587.3035256000003,0.0
R1153_num2,0.0,C120CAR_m + coa_m --> crn_m + ddcacoa_m,2.3.1.7,587.3035256000003,0.0
R1154_num2,0.0,C140CAR_m + coa_m --> crn_m + tdcoa_m,2.3.1.7,587.3035256000003,0.0
R1155_num2,0.0,C141CAR_m + coa_m --> C141COA_m + crn_m,2.3.1.7,587.3035256000003,0.0
R1156_num2,0.0,C150CAR_m + coa_m --> crn_m + pentdcoa_m,2.3.1.7,587.3035256000003,0.0
R1157_num2,0.0,C160CAR_m + coa_m --> crn_m + pmtcoa_m,2.3.1.7,587.3035256000003,0.0
R1158_num2,0.0,C161CAR_m + coa_m --> crn_m + hdd2coa_m,2.3.1.7,587.3035256000003,0.0
R1159_num2,0.0,C162CAR_m + coa_m --> C162COA_m + crn_m,2.3.1.7,587.3035256000003,0.0
R1160_num2,0.0,C170CAR_m + coa_m --> crn_m + hepdcoa_m,2.3.1.7,587.3035256000003,0.0
R1161_num2,0.0,C171CAR_m + coa_m --> C171COA_m + crn_m,2.3.1.7,587.3035256000003,0.0
R1162_num2,0.0,C180CAR_m + coa_m --> crn_m + stcoa_m,2.3.1.7,587.3035256000003,0.0
